pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	4430	4373	2056	1090	714	477	324	252	389	31	12	8	493
car interaction---home	59	57	8	27	58	64	36	0	0	0	0	0	0
car interaction---secondary	151	31	22	22	27	11	15	0	0	0	0	0	0
car interaction---work	7463	2850	1404	1404	331	235	333	0	0	25	14	0	0
home---car interaction	19960	14042	11714	6795	4469	4525	1995	756	524	347	482	129	20
home---pt interaction	1277	4437	2797	2635	1628	1201	776	529	336	112	144	24	7
home---secondary	5	32	92	149	151	145	116	126	101	52	41	28	37
home---work	7	41	108	144	219	188	187	132	106	99	47	59	37
pt interaction---home	1	4	4	2	7	0	2	2	1	0	0	0	0
pt interaction---pt interaction	1459	1886	422	127	44	38	17	9	4	4	4	8	174
pt interaction---secondary	139	92	43	38	47	56	10	2	0	0	0	0	0
pt interaction---work	515	770	475	413	474	289	49	3	0	2	1	0	0
secondary---car interaction	151	31	22	22	27	11	15	0	0	0	0	0	0
secondary---home	5	32	86	137	136	137	109	116	93	50	37	19	27
secondary---pt interaction	171	108	57	45	56	65	12	2	0	1	1	0	0
work---car interaction	7463	2850	1403	1404	331	235	333	0	0	25	14	0	0
work---home	7	41	106	143	218	177	177	130	108	96	37	55	23
work---pt interaction	541	764	489	392	512	286	54	2	0	3	1	0	0

average leg duration: 862.4783920024921 seconds = 00:14:22
