person_id;origin;destination;mode
10070_1;work;home;
10070_2;home;work;
10070_2;work;home;
10070_3;home;secondary;
10070_3;secondary;home;
10071_1;home;work;
10071_1;work;home;
10071_2;home;work;
10071_2;work;home;
10071_3;home;work;
10071_3;work;home;
10072_1;home;work;
10072_1;work;home;
10072_2;home;work;
10072_2;work;home;
10073_1;home;work;
10073_1;work;home;
10073_2;home;work;
10073_2;work;home;
10074_1;home;work;
10074_1;work;home;
10074_2;home;work;
10074_2;work;home;
10074_3;home;work;
10074_3;work;home;
10074_4;home;secondary;
10074_4;secondary;home;
10075_1;home;work;
10075_1;work;home;
10076_1;home;work;
10076_1;work;home;
10076_5;home;work;
10076_5;work;home;
10077_1;home;work;
10077_1;work;home;
10078_1;home;work;
10078_1;work;home;
10079_1;home;secondary;
10079_1;secondary;home;
1007_1;home;work;
1007_1;work;home;
1007_2;home;secondary;
1007_2;secondary;home;
10080_1;home;secondary;
10080_1;secondary;home;
10081_1;home;work;
10081_1;work;home;
10081_2;home;work;
10081_2;work;home;
10082_1;home;secondary;
10082_1;secondary;home;
10082_2;home;secondary;
10082_2;secondary;home;
10083_1;home;work;
10083_1;work;home;
10084_1;home;secondary;
10084_1;secondary;home;
10085_1;home;work;
10085_1;work;home;
10085_2;home;work;
10085_2;work;home;
10085_3;home;secondary;
10085_3;secondary;home;
10085_4;home;work;
10085_4;work;home;
10086_1;home;work;
10086_1;work;home;
10086_2;home;work;
10086_2;work;home;
10087_1;home;work;
10087_1;work;home;
10087_2;home;work;
10087_2;work;home;
10088_1;home;work;
10088_1;work;home;
10088_2;home;work;
10088_2;work;home;
10089_1;home;secondary;
10089_1;secondary;home;
1008_1;home;secondary;
1008_1;secondary;home;
10090_1;home;secondary;
10090_1;secondary;home;
10090_2;home;secondary;
10090_2;secondary;home;
10091_1;home;work;
10091_1;work;home;
10091_2;home;work;
10091_2;work;home;
10091_3;home;work;
10091_3;work;home;
10092_1;home;work;
10092_1;work;home;
10092_2;home;work;
10092_2;work;home;
10093_1;home;work;
10093_1;work;home;
10093_2;home;work;
10093_2;work;home;
10093_3;home;secondary;
10093_3;secondary;home;
10093_4;home;work;
10093_4;work;home;
10094_1;home;work;
10094_1;work;home;
10094_2;home;work;
10094_2;work;home;
10095_1;home;work;
10095_1;work;home;
10095_2;home;work;
10095_2;work;home;
10096_1;home;work;
10096_1;work;home;
10096_2;home;secondary;
10096_2;secondary;home;
10097_1;home;work;
10097_1;work;home;
10098_1;home;work;
10098_1;work;home;
10098_2;home;secondary;
10098_2;secondary;home;
10099_1;home;work;
10099_1;work;home;
10099_5;home;work;
10099_5;work;home;
1009_1;home;work;
1009_1;work;home;
1009_2;home;work;
1009_2;work;home;
100_1;home;work;
100_1;work;home;
100_2;home;work;
100_2;work;home;
10100_1;home;work;
10100_1;work;home;
10100_2;home;work;
10100_2;work;home;
10100_3;home;work;
10100_3;work;home;
10101_1;home;secondary;
10101_1;secondary;home;
10102_1;home;secondary;
10102_1;secondary;home;
10103_1;home;work;
10103_1;work;home;
10103_3;home;secondary;
10103_3;secondary;home;
10104_1;home;work;
10104_1;work;home;
10105_1;home;work;
10105_1;work;home;
10105_2;home;work;
10105_2;work;home;
10106_1;home;work;
10106_1;work;home;
10106_2;home;secondary;
10106_2;secondary;home;
10106_3;home;secondary;
10106_3;secondary;home;
10107_1;home;work;
10107_1;work;home;
10108_1;home;secondary;
10108_1;secondary;home;
10109_1;home;work;
10109_1;work;home;
10109_2;home;secondary;
10109_2;secondary;home;
10109_3;home;work;
10109_3;work;home;
1010_1;home;work;
1010_1;work;home;
1010_4;home;work;
1010_4;work;home;
10110_1;home;work;
10110_1;work;home;
10110_2;home;work;
10110_2;work;home;
10111_1;home;work;
10111_1;work;home;
10111_2;home;work;
10111_2;work;home;
10111_3;home;work;
10111_3;work;home;
10112_1;home;work;
10112_1;work;home;
10113_1;home;secondary;
10113_1;secondary;home;
10114_1;home;work;
10114_1;work;home;
10114_2;home;secondary;
10114_2;secondary;home;
10115_1;home;work;
10115_1;work;home;
10116_1;home;work;
10116_1;work;home;
10116_2;home;work;
10116_2;work;home;
10116_3;home;work;
10116_3;work;home;
10116_4;home;work;
10116_4;work;home;
10117_1;home;work;
10117_1;work;home;
10118_1;home;work;
10118_1;work;home;
10119_1;home;work;
10119_1;work;home;
10119_2;home;secondary;
10119_2;secondary;home;
1011_1;home;work;
1011_1;work;home;
1011_2;home;work;
1011_2;work;home;
1011_3;home;secondary;
1011_3;secondary;home;
10120_1;home;secondary;
10120_1;secondary;home;
10121_1;home;secondary;
10121_1;secondary;home;
10121_2;home;work;
10121_2;work;home;
10122_1;home;work;
10122_1;work;home;
10123_1;home;work;
10123_1;work;home;
10123_2;home;work;
10123_2;work;home;
10124_1;home;work;
10124_1;work;home;
10124_2;home;work;
10124_2;work;home;
10125_1;home;secondary;
10125_1;secondary;home;
10125_2;home;secondary;
10125_2;secondary;home;
10126_1;home;work;
10126_1;work;home;
10126_2;home;work;
10126_2;work;home;
10127_1;home;secondary;
10127_1;secondary;home;
10127_2;home;secondary;
10127_2;secondary;home;
10128_1;home;work;
10128_1;work;home;
10128_2;home;work;
10128_2;work;home;
10128_3;home;work;
10128_3;work;home;
10129_1;home;work;
10129_1;work;home;
10129_2;home;work;
10129_2;work;home;
10129_3;home;secondary;
10129_3;secondary;home;
1012_1;home;work;
1012_1;work;home;
10130_1;home;work;
10130_1;work;home;
10130_2;home;work;
10130_2;work;home;
10131_1;home;work;
10131_1;work;home;
10131_2;home;work;
10131_2;work;home;
10132_1;home;work;
10132_1;work;home;
10132_2;home;work;
10132_2;work;home;
10132_4;home;secondary;
10132_4;secondary;home;
10132_5;home;work;
10132_5;work;home;
10133_1;home;work;
10133_1;work;home;
10133_2;home;work;
10133_2;work;home;
10134_1;home;work;
10134_1;work;home;
10134_2;home;secondary;
10134_2;secondary;home;
10134_3;home;secondary;
10134_3;secondary;home;
10135_1;home;secondary;
10135_1;secondary;home;
10136_1;home;work;
10136_1;work;home;
10136_2;home;secondary;
10136_2;secondary;home;
10137_1;home;work;
10137_1;work;home;
10137_2;home;secondary;
10137_2;secondary;home;
10138_1;home;secondary;
10138_1;secondary;home;
10138_2;home;secondary;
10138_2;secondary;home;
10139_1;home;work;
10139_1;work;home;
10139_2;home;work;
10139_2;work;home;
10139_3;home;work;
10139_3;work;home;
1013_1;home;work;
1013_1;work;home;
10140_1;home;secondary;
10140_1;secondary;home;
10141_1;home;work;
10141_1;work;home;
10141_2;home;work;
10141_2;work;home;
10142_1;home;work;
10142_1;work;home;
10142_2;home;work;
10142_2;work;home;
10143_1;home;work;
10143_1;work;home;
10143_2;home;work;
10143_2;work;home;
10144_1;home;work;
10144_1;work;home;
10145_1;home;secondary;
10145_1;secondary;home;
10146_1;home;work;
10146_1;work;home;
10146_2;home;secondary;
10146_2;secondary;home;
10147_1;home;work;
10147_1;work;home;
10147_2;home;work;
10147_2;work;home;
10147_4;home;secondary;
10147_4;secondary;home;
10147_5;home;work;
10147_5;work;home;
10148_1;home;work;
10148_1;work;home;
10148_2;home;secondary;
10148_2;secondary;home;
10149_1;home;secondary;
10149_1;secondary;home;
1014_1;home;secondary;
1014_1;secondary;home;
1014_2;home;secondary;
1014_2;secondary;home;
10150_1;home;work;
10150_1;work;home;
10150_2;home;work;
10150_2;work;home;
10150_4;home;secondary;
10150_4;secondary;home;
10150_5;home;work;
10150_5;work;home;
10151_1;home;work;
10151_1;work;home;
10151_2;home;secondary;
10151_2;secondary;home;
10152_1;home;work;
10152_1;work;home;
10153_1;home;secondary;
10153_1;secondary;home;
10154_1;home;work;
10154_1;work;home;
10154_2;home;work;
10154_2;work;home;
10155_1;home;work;
10155_1;work;home;
10155_2;home;secondary;
10155_2;secondary;home;
10155_3;home;work;
10155_3;work;home;
10155_4;home;work;
10155_4;work;home;
10156_1;home;secondary;
10156_1;secondary;home;
10156_2;home;work;
10156_2;work;home;
10157_1;home;work;
10157_1;work;home;
10157_2;home;secondary;
10157_2;secondary;home;
10158_1;home;work;
10158_1;work;home;
10158_2;home;work;
10158_2;work;home;
10159_1;home;secondary;
10159_1;secondary;home;
10159_2;home;work;
10159_2;work;home;
1015_1;home;work;
1015_1;work;home;
1015_2;home;work;
1015_2;work;home;
10160_1;home;secondary;
10160_1;secondary;home;
10161_1;home;work;
10161_1;work;home;
10161_2;home;work;
10161_2;work;home;
10161_4;home;work;
10161_4;work;home;
10162_1;home;work;
10162_1;work;home;
10162_2;home;work;
10162_2;work;home;
10163_1;home;secondary;
10163_1;secondary;home;
10164_1;home;work;
10164_1;work;home;
10164_2;home;work;
10164_2;work;home;
10165_1;home;secondary;
10165_1;secondary;home;
10165_4;home;secondary;
10165_4;secondary;home;
10166_1;home;secondary;
10166_1;secondary;home;
10166_3;home;secondary;
10166_3;secondary;home;
10166_4;home;secondary;
10166_4;secondary;home;
10167_1;home;secondary;
10167_1;secondary;home;
10168_1;home;secondary;
10168_1;secondary;home;
10169_1;home;secondary;
10169_1;secondary;home;
1016_1;home;secondary;
1016_1;secondary;home;
10170_1;home;work;
10170_1;work;home;
10170_2;home;secondary;
10170_2;secondary;home;
10171_1;home;work;
10171_1;work;home;
10171_2;home;work;
10171_2;work;home;
10171_3;home;secondary;
10171_3;secondary;home;
10172_1;home;secondary;
10172_1;secondary;home;
10173_1;home;secondary;
10173_1;secondary;home;
10174_1;home;work;
10174_1;work;home;
10174_2;home;secondary;
10174_2;secondary;home;
10175_1;home;work;
10175_1;work;home;
10175_2;home;secondary;
10175_2;secondary;home;
10176_1;home;work;
10176_1;work;home;
10176_2;home;work;
10176_2;work;home;
10176_3;home;secondary;
10176_3;secondary;home;
10177_1;home;work;
10177_1;work;home;
10177_2;home;work;
10177_2;work;home;
10178_1;home;work;
10178_1;work;home;
10178_2;home;secondary;
10178_2;secondary;home;
10178_3;home;secondary;
10178_3;secondary;home;
10178_4;home;secondary;
10178_4;secondary;home;
10178_5;home;secondary;
10178_5;secondary;home;
10179_1;home;work;
10179_1;work;home;
10179_2;home;secondary;
10179_2;secondary;home;
10179_4;home;work;
10179_4;work;home;
1017_1;home;work;
1017_1;work;home;
10180_1;home;work;
10180_1;work;home;
10180_2;home;work;
10180_2;work;home;
10180_3;home;work;
10180_3;work;home;
10180_4;home;secondary;
10180_4;secondary;home;
10181_1;home;work;
10181_1;work;home;
10181_2;home;work;
10181_2;work;home;
10181_3;home;work;
10181_3;work;home;
10182_1;home;work;
10182_1;work;home;
10182_2;home;secondary;
10182_2;secondary;home;
10183_1;home;work;
10183_1;work;home;
10184_1;home;work;
10184_1;work;home;
10185_1;home;work;
10185_1;work;home;
10185_2;home;work;
10185_2;work;home;
10186_1;home;secondary;
10186_1;secondary;home;
10187_1;home;secondary;
10187_1;secondary;home;
10187_2;home;secondary;
10187_2;secondary;home;
10188_1;home;secondary;
10188_1;secondary;home;
10189_1;home;secondary;
10189_1;secondary;home;
10189_2;home;work;
10189_2;work;home;
