pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---car interaction	14193	12488	4460	2407	1648	1203	799	1157	703	632	779	1349	25982
car interaction---home	6371	4088	3116	1680	1515	1181	706	74	55	12	26	8	2
car interaction---secondary	5190	1416	426	208	123	40	41	0	4	35	32	0	0
car interaction---work	23763	9423	3682	2703	916	421	390	0	0	51	100	0	0
home---car interaction	19660	13866	11553	6709	4407	4456	1964	744	516	340	476	128	20
home---pt interaction	1293	4498	2834	2646	1640	1218	798	538	347	117	147	24	7
home---secondary	5	32	93	159	163	154	133	139	118	75	61	42	135
home---work	7	43	111	156	236	220	220	171	152	153	86	98	203
pt interaction---home	457	1552	867	937	614	310	306	335	156	58	28	0	1
pt interaction---pt interaction	7638	11282	1259	664	372	304	295	306	375	368	372	594	6370
pt interaction---secondary	1428	1706	761	396	230	180	29	9	10	19	14	0	0
pt interaction---work	1524	2288	1177	864	768	562	120	14	10	11	21	0	0
secondary---car interaction	5190	1416	426	208	123	40	41	0	3	35	32	0	0
secondary---home	5	32	90	157	152	156	132	139	116	78	60	34	126
secondary---pt interaction	1425	1717	755	390	240	197	36	9	10	16	18	0	0
work---car interaction	23763	9423	3682	2703	916	421	390	0	0	51	100	0	0
work---home	7	43	109	160	248	215	217	184	169	161	82	103	190
work---pt interaction	1563	2224	1128	858	858	522	120	13	11	9	21	0	0

average leg duration: 1287.5822231862576 seconds = 00:21:27
