Iteration;car_travel;car_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;5868;0;2737;183;0;0;26519;0
1;59990;0;9044;8220;0;0;41468;0
