iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
0;13:35:37;13:35:37;13:35:37;;;13:35:37;13:35:37;13:35:40;13:35:40;13:35:40;13:35:40;13:35:40;13:35:50;13:35:50;13:35:50;13:35:50;13:35:50;13:35:50;13:35:54;13:35:54;;00:00:00;;00:00:02;00:00:02;00:00:00;00:00:09;00:00:00;00:00:00;00:00:03;00:00:16
1;13:35:54;13:35:54;13:35:54;13:35:54;13:35:54;13:35:54;13:35:54;13:35:57;13:35:57;13:35:57;13:35:57;13:35:57;13:36:09;13:36:09;13:36:09;13:36:09;13:36:09;13:36:09;13:36:16;13:36:16;;00:00:00;00:00:00;00:00:03;00:00:03;00:00:00;00:00:12;00:00:00;00:00:00;00:00:06;00:00:22
