Iteration;car_travel;car_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;6293;0;4007;280;0;0;26558;0
1;59384;0;8807;9360;0;0;41561;0
