iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;iterationEndsListeners;iteration
13;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
14;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;;;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:56;14:25:57;14:25:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
15;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
16;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
17;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
18;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
19;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;14:25:57;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
20;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
21;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
22;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
23;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
24;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
25;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;14:25:58;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
26;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
27;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
28;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
29;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
30;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
31;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;;;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:25:59;14:26:00;14:26:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
32;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
33;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
34;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
35;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
36;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
37;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;14:26:00;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
38;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
39;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
40;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
41;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;14:26:01;;00:00:00;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00;00:00:00
